year,city,dtype,path,rows,usable_price_rows,usable_price_rate,geo_valid_rate,source,trust,is_synthetic
2001,三亚,客群样本,2001年\客群样本-三亚.csv,1500,,,,llm_generated,L3,True
2001,三亚,客群画像,2001年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2001,三亚,楼盘,2001年\三亚.csv,43,0.0,0.0,,cloned_synthetic,L3,True
2001,上海,客群样本,2001年\客群样本-上海.csv,1500,,,,llm_generated,L3,True
2001,上海,客群画像,2001年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2001,上海,楼盘,2001年\上海.csv,193,0.0,0.0,,cloned_synthetic,L3,True
2001,杭州,客群样本,2001年\客群样本-杭州.csv,1500,,,,llm_generated,L3,True
2001,杭州,客群画像,2001年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2001,杭州,楼盘,2001年\杭州.csv,237,0.0,0.0,,cloned_synthetic,L3,True
2001,青岛,客群样本,2001年\客群样本-青岛.csv,1500,,,,llm_generated,L3,True
2001,青岛,客群画像,2001年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2001,青岛,楼盘,2001年\青岛.csv,165,0.0,0.0,,cloned_synthetic,L3,True
2002,三亚,客群样本,2002年\客群样本-三亚.csv,1500,,,,llm_generated,L3,True
2002,三亚,客群画像,2002年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2002,三亚,楼盘,2002年\三亚.csv,43,0.0,0.0,,cloned_synthetic,L3,True
2002,上海,客群样本,2002年\客群样本-上海.csv,1500,,,,llm_generated,L3,True
2002,上海,客群画像,2002年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2002,上海,楼盘,2002年\上海.csv,193,0.0,0.0,,cloned_synthetic,L3,True
2002,杭州,客群样本,2002年\客群样本-杭州.csv,1500,,,,llm_generated,L3,True
2002,杭州,客群画像,2002年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2002,杭州,楼盘,2002年\杭州.csv,237,0.0,0.0,,cloned_synthetic,L3,True
2002,青岛,客群样本,2002年\客群样本-青岛.csv,1500,,,,llm_generated,L3,True
2002,青岛,客群画像,2002年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2002,青岛,楼盘,2002年\青岛.csv,165,0.0,0.0,,cloned_synthetic,L3,True
2003,三亚,客群样本,2003年\客群样本-三亚.csv,1500,,,,llm_generated,L3,True
2003,三亚,客群画像,2003年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2003,三亚,楼盘,2003年\三亚.csv,43,0.0,0.0,,cloned_synthetic,L3,True
2003,上海,客群样本,2003年\客群样本-上海.csv,1500,,,,llm_generated,L3,True
2003,上海,客群画像,2003年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2003,上海,楼盘,2003年\上海.csv,193,0.0,0.0,,cloned_synthetic,L3,True
2003,杭州,客群样本,2003年\客群样本-杭州.csv,1500,,,,llm_generated,L3,True
2003,杭州,客群画像,2003年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2003,杭州,楼盘,2003年\杭州.csv,237,0.0,0.0,,cloned_synthetic,L3,True
2003,青岛,客群样本,2003年\客群样本-青岛.csv,1500,,,,llm_generated,L3,True
2003,青岛,客群画像,2003年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2003,青岛,楼盘,2003年\青岛.csv,165,0.0,0.0,,cloned_synthetic,L3,True
2004,三亚,客群样本,2004年\客群样本-三亚.csv,1500,,,,llm_generated,L3,True
2004,三亚,客群画像,2004年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2004,三亚,楼盘,2004年\三亚.csv,43,0.0,0.0,,cloned_synthetic,L3,True
2004,上海,客群样本,2004年\客群样本-上海.csv,1500,,,,llm_generated,L3,True
2004,上海,客群画像,2004年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2004,上海,楼盘,2004年\上海.csv,193,0.0,0.0,,cloned_synthetic,L3,True
2004,杭州,客群样本,2004年\客群样本-杭州.csv,1500,,,,llm_generated,L3,True
2004,杭州,客群画像,2004年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2004,杭州,楼盘,2004年\杭州.csv,237,0.0,0.0,,cloned_synthetic,L3,True
2004,青岛,客群样本,2004年\客群样本-青岛.csv,1500,,,,llm_generated,L3,True
2004,青岛,客群画像,2004年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2004,青岛,楼盘,2004年\青岛.csv,165,0.0,0.0,,cloned_synthetic,L3,True
2005,三亚,客群样本,2005年\客群样本-三亚.csv,2000,,,,llm_generated,L3,True
2005,三亚,客群画像,2005年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2005,三亚,楼盘,2005年\三亚.csv,100,0.0,0.0,,cloned_synthetic,L3,True
2005,上海,客群样本,2005年\客群样本-上海.csv,2000,,,,llm_generated,L3,True
2005,上海,客群画像,2005年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2005,上海,楼盘,2005年\上海.csv,451,0.0,0.0,,cloned_synthetic,L3,True
2005,杭州,客群样本,2005年\客群样本-杭州.csv,2000,,,,llm_generated,L3,True
2005,杭州,客群画像,2005年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2005,杭州,楼盘,2005年\杭州.csv,554,0.0,0.0,,cloned_synthetic,L3,True
2005,青岛,客群样本,2005年\客群样本-青岛.csv,2000,,,,llm_generated,L3,True
2005,青岛,客群画像,2005年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2005,青岛,楼盘,2005年\青岛.csv,385,0.0,0.0,,cloned_synthetic,L3,True
2006,三亚,客群样本,2006年\客群样本-三亚.csv,2000,,,,llm_generated,L3,True
2006,三亚,客群画像,2006年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2006,三亚,楼盘,2006年\三亚.csv,100,0.0,0.0,,cloned_synthetic,L3,True
2006,上海,客群样本,2006年\客群样本-上海.csv,2000,,,,llm_generated,L3,True
2006,上海,客群画像,2006年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2006,上海,楼盘,2006年\上海.csv,451,0.0,0.0,,cloned_synthetic,L3,True
2006,杭州,客群样本,2006年\客群样本-杭州.csv,2000,,,,llm_generated,L3,True
2006,杭州,客群画像,2006年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2006,杭州,楼盘,2006年\杭州.csv,554,0.0,0.0,,cloned_synthetic,L3,True
2006,青岛,客群样本,2006年\客群样本-青岛.csv,2000,,,,llm_generated,L3,True
2006,青岛,客群画像,2006年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2006,青岛,楼盘,2006年\青岛.csv,385,0.0,0.0,,cloned_synthetic,L3,True
2007,三亚,客群样本,2007年\客群样本-三亚.csv,2000,,,,llm_generated,L3,True
2007,三亚,客群画像,2007年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2007,三亚,楼盘,2007年\三亚.csv,100,0.0,0.0,,cloned_synthetic,L3,True
2007,上海,客群样本,2007年\客群样本-上海.csv,2000,,,,llm_generated,L3,True
2007,上海,客群画像,2007年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2007,上海,楼盘,2007年\上海.csv,451,0.0,0.0,,cloned_synthetic,L3,True
2007,杭州,客群样本,2007年\客群样本-杭州.csv,2000,,,,llm_generated,L3,True
2007,杭州,客群画像,2007年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2007,杭州,楼盘,2007年\杭州.csv,554,0.0,0.0,,cloned_synthetic,L3,True
2007,青岛,客群样本,2007年\客群样本-青岛.csv,2000,,,,llm_generated,L3,True
2007,青岛,客群画像,2007年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2007,青岛,楼盘,2007年\青岛.csv,385,0.0,0.0,,cloned_synthetic,L3,True
2008,三亚,客群样本,2008年\客群样本-三亚.csv,2000,,,,llm_generated,L3,True
2008,三亚,客群画像,2008年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2008,三亚,楼盘,2008年\三亚.csv,100,0.0,0.0,,cloned_synthetic,L3,True
2008,上海,客群样本,2008年\客群样本-上海.csv,2000,,,,llm_generated,L3,True
2008,上海,客群画像,2008年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2008,上海,楼盘,2008年\上海.csv,451,0.0,0.0,,cloned_synthetic,L3,True
2008,杭州,客群样本,2008年\客群样本-杭州.csv,2000,,,,llm_generated,L3,True
2008,杭州,客群画像,2008年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2008,杭州,楼盘,2008年\杭州.csv,554,0.0,0.0,,cloned_synthetic,L3,True
2008,青岛,客群样本,2008年\客群样本-青岛.csv,2000,,,,llm_generated,L3,True
2008,青岛,客群画像,2008年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2008,青岛,楼盘,2008年\青岛.csv,385,0.0,0.0,,cloned_synthetic,L3,True
2009,三亚,客群样本,2009年\客群样本-三亚.csv,2000,,,,llm_generated,L3,True
2009,三亚,客群画像,2009年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2009,三亚,楼盘,2009年\三亚.csv,100,0.0,0.0,,cloned_synthetic,L3,True
2009,上海,客群样本,2009年\客群样本-上海.csv,2000,,,,llm_generated,L3,True
2009,上海,客群画像,2009年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2009,上海,楼盘,2009年\上海.csv,451,0.0,0.0,,cloned_synthetic,L3,True
2009,杭州,客群样本,2009年\客群样本-杭州.csv,2000,,,,llm_generated,L3,True
2009,杭州,客群画像,2009年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2009,杭州,楼盘,2009年\杭州.csv,554,0.0,0.0,,cloned_synthetic,L3,True
2009,青岛,客群样本,2009年\客群样本-青岛.csv,2000,,,,llm_generated,L3,True
2009,青岛,客群画像,2009年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2009,青岛,楼盘,2009年\青岛.csv,385,0.0,0.0,,cloned_synthetic,L3,True
2010,三亚,客群样本,2010年\客群样本-三亚.csv,3000,,,,llm_generated,L3,True
2010,三亚,客群画像,2010年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2010,三亚,楼盘,2010年\三亚.csv,158,0.0,0.0,,cloned_synthetic,L3,True
2010,上海,客群样本,2010年\客群样本-上海.csv,3000,,,,llm_generated,L3,True
2010,上海,客群画像,2010年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2010,上海,楼盘,2010年\上海.csv,709,1.0,0.001,,cloned_synthetic,L3,True
2010,杭州,客群样本,2010年\客群样本-杭州.csv,3000,,,,llm_generated,L3,True
2010,杭州,客群画像,2010年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2010,杭州,楼盘,2010年\杭州.csv,870,0.0,0.0,,cloned_synthetic,L3,True
2010,青岛,客群样本,2010年\客群样本-青岛.csv,3000,,,,llm_generated,L3,True
2010,青岛,客群画像,2010年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2010,青岛,楼盘,2010年\青岛.csv,605,0.0,0.0,,cloned_synthetic,L3,True
2011,三亚,客群样本,2011年\客群样本-三亚.csv,3000,,,,llm_generated,L3,True
2011,三亚,客群画像,2011年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2011,三亚,楼盘,2011年\三亚.csv,158,0.0,0.0,,cloned_synthetic,L3,True
2011,上海,客群样本,2011年\客群样本-上海.csv,3000,,,,llm_generated,L3,True
2011,上海,客群画像,2011年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2011,上海,楼盘,2011年\上海.csv,709,0.0,0.0,,cloned_synthetic,L3,True
2011,杭州,客群样本,2011年\客群样本-杭州.csv,3000,,,,llm_generated,L3,True
2011,杭州,客群画像,2011年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2011,杭州,楼盘,2011年\杭州.csv,870,0.0,0.0,,cloned_synthetic,L3,True
2011,青岛,客群样本,2011年\客群样本-青岛.csv,3000,,,,llm_generated,L3,True
2011,青岛,客群画像,2011年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2011,青岛,楼盘,2011年\青岛.csv,605,0.0,0.0,,cloned_synthetic,L3,True
2012,三亚,客群样本,2012年\客群样本-三亚.csv,3000,,,,llm_generated,L3,True
2012,三亚,客群画像,2012年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2012,三亚,楼盘,2012年\三亚.csv,158,0.0,0.0,,cloned_synthetic,L3,True
2012,上海,客群样本,2012年\客群样本-上海.csv,3000,,,,llm_generated,L3,True
2012,上海,客群画像,2012年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2012,上海,楼盘,2012年\上海.csv,709,2.0,0.003,,cloned_synthetic,L3,True
2012,杭州,客群样本,2012年\客群样本-杭州.csv,3000,,,,llm_generated,L3,True
2012,杭州,客群画像,2012年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2012,杭州,楼盘,2012年\杭州.csv,870,0.0,0.0,,cloned_synthetic,L3,True
2012,青岛,客群样本,2012年\客群样本-青岛.csv,3000,,,,llm_generated,L3,True
2012,青岛,客群画像,2012年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2012,青岛,楼盘,2012年\青岛.csv,605,1.0,0.002,,cloned_synthetic,L3,True
2013,三亚,客群样本,2013年\客群样本-三亚.csv,3000,,,,llm_generated,L3,True
2013,三亚,客群画像,2013年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2013,三亚,楼盘,2013年\三亚.csv,201,1.0,0.005,,cloned_synthetic,L3,True
2013,上海,客群样本,2013年\客群样本-上海.csv,3000,,,,llm_generated,L3,True
2013,上海,客群画像,2013年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2013,上海,楼盘,2013年\上海.csv,902,4.0,0.004,,cloned_synthetic,L3,True
2013,杭州,客群样本,2013年\客群样本-杭州.csv,3000,,,,llm_generated,L3,True
2013,杭州,客群画像,2013年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2013,杭州,楼盘,2013年\杭州.csv,1108,0.0,0.0,,cloned_synthetic,L3,True
2013,青岛,客群样本,2013年\客群样本-青岛.csv,3000,,,,llm_generated,L3,True
2013,青岛,客群画像,2013年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2013,青岛,楼盘,2013年\青岛.csv,771,1.0,0.001,,cloned_synthetic,L3,True
2014,三亚,客群样本,2014年\客群样本-三亚.csv,3000,,,,llm_generated,L3,True
2014,三亚,客群画像,2014年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2014,三亚,楼盘,2014年\三亚.csv,201,0.0,0.0,,cloned_synthetic,L3,True
2014,上海,客群样本,2014年\客群样本-上海.csv,3000,,,,llm_generated,L3,True
2014,上海,客群画像,2014年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2014,上海,楼盘,2014年\上海.csv,902,4.0,0.004,,cloned_synthetic,L3,True
2014,杭州,客群样本,2014年\客群样本-杭州.csv,3000,,,,llm_generated,L3,True
2014,杭州,客群画像,2014年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2014,杭州,楼盘,2014年\杭州.csv,1108,1.0,0.001,,cloned_synthetic,L3,True
2014,青岛,客群样本,2014年\客群样本-青岛.csv,3000,,,,llm_generated,L3,True
2014,青岛,客群画像,2014年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2014,青岛,楼盘,2014年\青岛.csv,771,0.0,0.0,,cloned_synthetic,L3,True
2015,三亚,客群样本,2015年\客群样本-三亚.csv,4000,,,,llm_generated,L3,True
2015,三亚,客群画像,2015年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2015,三亚,楼盘,2015年\三亚.csv,201,1.0,0.005,,cloned_synthetic,L3,True
2015,上海,客群样本,2015年\客群样本-上海.csv,4000,,,,llm_generated,L3,True
2015,上海,客群画像,2015年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2015,上海,楼盘,2015年\上海.csv,902,2.0,0.002,,cloned_synthetic,L3,True
2015,杭州,客群样本,2015年\客群样本-杭州.csv,4000,,,,llm_generated,L3,True
2015,杭州,客群画像,2015年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2015,杭州,楼盘,2015年\杭州.csv,1108,4.0,0.004,,cloned_synthetic,L3,True
2015,青岛,客群样本,2015年\客群样本-青岛.csv,4000,,,,llm_generated,L3,True
2015,青岛,客群画像,2015年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2015,青岛,楼盘,2015年\青岛.csv,771,2.0,0.003,,cloned_synthetic,L3,True
2016,三亚,客群样本,2016年\客群样本-三亚.csv,4000,,,,llm_generated,L3,True
2016,三亚,客群画像,2016年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2016,三亚,楼盘,2016年\三亚.csv,244,0.0,0.0,,cloned_synthetic,L3,True
2016,上海,客群样本,2016年\客群样本-上海.csv,4000,,,,llm_generated,L3,True
2016,上海,客群画像,2016年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2016,上海,楼盘,2016年\上海.csv,1095,9.0,0.008,,cloned_synthetic,L3,True
2016,杭州,客群样本,2016年\客群样本-杭州.csv,4000,,,,llm_generated,L3,True
2016,杭州,客群画像,2016年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2016,杭州,楼盘,2016年\杭州.csv,1345,2.0,0.001,,cloned_synthetic,L3,True
2016,青岛,客群样本,2016年\客群样本-青岛.csv,4000,,,,llm_generated,L3,True
2016,青岛,客群画像,2016年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2016,青岛,楼盘,2016年\青岛.csv,936,1.0,0.001,,cloned_synthetic,L3,True
2017,三亚,客群样本,2017年\客群样本-三亚.csv,4000,,,,llm_generated,L3,True
2017,三亚,客群画像,2017年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2017,三亚,楼盘,2017年\三亚.csv,244,0.0,0.0,,cloned_synthetic,L3,True
2017,上海,客群样本,2017年\客群样本-上海.csv,4000,,,,llm_generated,L3,True
2017,上海,客群画像,2017年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2017,上海,楼盘,2017年\上海.csv,1095,5.0,0.005,,cloned_synthetic,L3,True
2017,杭州,客群样本,2017年\客群样本-杭州.csv,4000,,,,llm_generated,L3,True
2017,杭州,客群画像,2017年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2017,杭州,楼盘,2017年\杭州.csv,1345,4.0,0.003,,cloned_synthetic,L3,True
2017,青岛,客群样本,2017年\客群样本-青岛.csv,4000,,,,llm_generated,L3,True
2017,青岛,客群画像,2017年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2017,青岛,楼盘,2017年\青岛.csv,936,3.0,0.003,,cloned_synthetic,L3,True
2018,三亚,客群样本,2018年\客群样本-三亚.csv,4000,,,,llm_generated,L3,True
2018,三亚,客群画像,2018年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2018,三亚,楼盘,2018年\三亚.csv,273,3.0,0.011,,cloned_synthetic,L3,True
2018,上海,客群样本,2018年\客群样本-上海.csv,4000,,,,llm_generated,L3,True
2018,上海,客群画像,2018年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2018,上海,楼盘,2018年\上海.csv,1224,8.0,0.007,,cloned_synthetic,L3,True
2018,杭州,客群样本,2018年\客群样本-杭州.csv,4000,,,,llm_generated,L3,True
2018,杭州,客群画像,2018年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2018,杭州,楼盘,2018年\杭州.csv,1504,2.0,0.001,,cloned_synthetic,L3,True
2018,青岛,客群样本,2018年\客群样本-青岛.csv,4000,,,,llm_generated,L3,True
2018,青岛,客群画像,2018年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2018,青岛,楼盘,2018年\青岛.csv,1046,7.0,0.007,,cloned_synthetic,L3,True
2019,三亚,客群样本,2019年\客群样本-三亚.csv,4000,,,,llm_generated,L3,True
2019,三亚,客群画像,2019年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2019,三亚,楼盘,2019年\三亚.csv,273,3.0,0.011,,cloned_synthetic,L3,True
2019,上海,客群样本,2019年\客群样本-上海.csv,4000,,,,llm_generated,L3,True
2019,上海,客群画像,2019年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2019,上海,楼盘,2019年\上海.csv,1224,20.0,0.016,,cloned_synthetic,L3,True
2019,杭州,客群样本,2019年\客群样本-杭州.csv,4000,,,,llm_generated,L3,True
2019,杭州,客群画像,2019年\客群画像-杭州.csv,5,,,,llm_generated,L3,True
2019,杭州,楼盘,2019年\杭州.csv,1504,23.0,0.015,,cloned_synthetic,L3,True
2019,青岛,客群样本,2019年\客群样本-青岛.csv,4000,,,,llm_generated,L3,True
2019,青岛,客群画像,2019年\客群画像-青岛.csv,5,,,,llm_generated,L3,True
2019,青岛,楼盘,2019年\青岛.csv,1046,18.0,0.017,,cloned_synthetic,L3,True
2020,三亚,客群样本,2020年\客群样本-三亚.csv,5000,,,,llm_generated,L3,True
2020,三亚,客群画像,2020年\客群画像-三亚.csv,6,,,,llm_generated,L3,True
2020,三亚,楼盘,2020年\三亚.csv,287,9.0,0.031,,cloned_synthetic,L3,True
2020,上海,客群样本,2020年\客群样本-上海.csv,5000,,,,llm_generated,L3,True
2020,上海,客群画像,2020年\客群画像-上海.csv,5,,,,llm_generated,L3,True
2020,上海,楼盘,2020年\上海.csv,1289,18.0,0.014,,cloned_synthetic,L3,True
2020,杭州,客群样本,2020年\客群样本-杭州.csv,5000,,,,llm_generated,L3,True
